,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
ID3S/USDT,ID3S/USDT,,,0.03885,0.03219,0.037,,0.03738,,0.03467082325396471,,0.03717,0.03717,,,7.8,,188813.91,6546.3337015,"{'currency_pair': 'ID3S_USDT', 'last': '0.03717', 'lowest_ask': '0.03738', 'highest_bid': '0.037', 'change_percentage': '7.8', 'change_utc0': '7.14', 'change_utc8': '1', 'base_volume': '188813.91', 'quote_volume': '6546.3337015', 'high_24h': '0.03885', 'low_24h': '0.03219', 'etf_net_value': '0.03719043', 'etf_pre_net_value': '0.03451004', 'etf_pre_timestamp': '1709395200', 'etf_leverage': '2.056038007161586'}"
CTSI/USDT,CTSI/USDT,,,0.43326,0.38163,0.39741,,0.39778,,0.4109689986300562,,0.3975,0.3975,,,-4.61,,4308788.5656193,1770778.5221212,"{'currency_pair': 'CTSI_USDT', 'last': '0.3975', 'lowest_ask': '0.39778', 'highest_bid': '0.39741', 'change_percentage': '-4.61', 'change_utc0': '-5.62', 'change_utc8': '-1.17', 'base_volume': '4308788.5656193', 'quote_volume': '1770778.5221212', 'high_24h': '0.43326', 'low_24h': '0.38163'}"
COTI3L/USDT,COTI3L/USDT,,,0.5345,0.3847,0.4091,,0.4183,,0.4852605486269207,,0.4118,0.4118,,,-13.3,,47619.61,23107.918074,"{'currency_pair': 'COTI3L_USDT', 'last': '0.4118', 'lowest_ask': '0.4183', 'highest_bid': '0.4091', 'change_percentage': '-13.3', 'change_utc0': '-13.28', 'change_utc8': '-7.33', 'base_volume': '47619.61', 'quote_volume': '23107.918074', 'high_24h': '0.5345', 'low_24h': '0.3847', 'etf_net_value': '0.41374328', 'etf_pre_net_value': '0.45000658', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.4139409336297235'}"
ASR/USDT,ASR/USDT,,,3.131,2.909,2.934,,2.957,,2.9967491584363803,,2.942,2.942,,,0.2,,18807.83989944,56362.378390653,"{'currency_pair': 'ASR_USDT', 'last': '2.942', 'lowest_ask': '2.957', 'highest_bid': '2.934', 'change_percentage': '0.2', 'change_utc0': '-3.22', 'change_utc8': '0.1', 'base_volume': '18807.83989944', 'quote_volume': '56362.378390653', 'high_24h': '3.131', 'low_24h': '2.909'}"
GDT/ETH,GDT/ETH,,,3.93e-06,3.288e-06,3.706e-06,,3.814e-06,,3.416466197542e-06,,3.768e-06,3.768e-06,,,10.07,,1165481.9510093664,3.981829689469224,"{'currency_pair': 'GDT_ETH', 'last': '0.000003768', 'lowest_ask': '0.000003814', 'highest_bid': '0.000003706', 'change_percentage': '10.07', 'change_utc0': '10.82', 'change_utc8': '13.39', 'base_volume': '1165481.9510093664', 'quote_volume': '3.9818296894692244099', 'high_24h': '0.00000393', 'low_24h': '0.000003288'}"
YFI3L/USDT,YFI3L/USDT,,,0.58776,0.51703,0.54571,,0.55084,,0.5606387697976616,,0.54433,0.54433,,,2.06,,116258.68,65179.1233335,"{'currency_pair': 'YFI3L_USDT', 'last': '0.54433', 'lowest_ask': '0.55084', 'highest_bid': '0.54571', 'change_percentage': '2.06', 'change_utc0': '-0.7', 'change_utc8': '-2.09', 'base_volume': '116258.68', 'quote_volume': '65179.1233335', 'high_24h': '0.58776', 'low_24h': '0.51703', 'etf_net_value': '0.54827440', 'etf_pre_net_value': '0.55648532', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.3194687142322326'}"
XPR/USDT,XPR/USDT,,,0.0017317,0.0015767,0.0016238,,0.0016317,,0.001643222090713455,,0.0016286,0.0016286,,,1.55,,71137545.544441,116894.78631776,"{'currency_pair': 'XPR_USDT', 'last': '0.0016286', 'lowest_ask': '0.0016317', 'highest_bid': '0.0016238', 'change_percentage': '1.55', 'change_utc0': '1.09', 'change_utc8': '-2.21', 'base_volume': '71137545.544441', 'quote_volume': '116894.78631776', 'high_24h': '0.0017317', 'low_24h': '0.0015767'}"
BRWL/USDT,BRWL/USDT,,,0.012963,0.012197,0.012499,,0.012566,,0.012493586450115227,,0.012499,0.012499,,,-0.33,,2264288.8195551,28289.088115141,"{'currency_pair': 'BRWL_USDT', 'last': '0.012499', 'lowest_ask': '0.012566', 'highest_bid': '0.012499', 'change_percentage': '-0.33', 'change_utc0': '-0.52', 'change_utc8': '-0.95', 'base_volume': '2264288.8195551', 'quote_volume': '28289.088115141', 'high_24h': '0.012963', 'low_24h': '0.012197'}"
CWS/USDT,CWS/USDT,,,0.8609,0.6889,0.8087,,0.8219,,0.8019656105757405,,0.8143,0.8143,,,13.8,,70757.008087937,56744.687193755,"{'currency_pair': 'CWS_USDT', 'last': '0.8143', 'lowest_ask': '0.8219', 'highest_bid': '0.8087', 'change_percentage': '13.8', 'change_utc0': '2.58', 'change_utc8': '-1.46', 'base_volume': '70757.008087937', 'quote_volume': '56744.687193755', 'high_24h': '0.8609', 'low_24h': '0.6889'}"
OKB3S/USDT,OKB3S/USDT,,,0.84622,0.79539,0.8339,,0.84363,,0.8030699452441629,,0.84622,0.84622,,,6.11,,290.38,233.1954507,"{'currency_pair': 'OKB3S_USDT', 'last': '0.84622', 'lowest_ask': '0.84363', 'highest_bid': '0.8339', 'change_percentage': '6.11', 'change_utc0': '6.11', 'change_utc8': '0.11', 'base_volume': '290.38', 'quote_volume': '233.1954507', 'high_24h': '0.84622', 'low_24h': '0.79539', 'etf_net_value': '0.83876483', 'etf_pre_net_value': '0.80722579', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.1759141865741354'}"
