,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
EOS/ETH,EOS/ETH,,,0.000329,0.000304,0.000307,,0.000308,,0.00031648,0.000306,0.000304,0.000304,,-2e-06,-0.65359477124183,0.000305,4226.94747001,1.3377443353087648,"{'a': ['0.00030800', '1366', '1366.000'], 'b': ['0.00030700', '1486', '1486.000'], 'c': ['0.00030400', '126.80800475'], 'v': ['3513.34477180', '4226.94747001'], 'p': ['0.00031699', '0.00031648'], 't': ['63', '70'], 'l': ['0.00030400', '0.00030400'], 'h': ['0.00032900', '0.00032900'], 'o': '0.00030600'}"
EOS/EUR,EOS/EUR,,,1.0582,0.9707,1.0164,,1.0165,,1.010331,0.9887,1.0134,1.0134,,0.0247,2.498229998988571,1.00105,481720.41085748,486697.0644220486,"{'a': ['1.016500', '16', '16.000'], 'b': ['1.016400', '3141', '3141.000'], 'c': ['1.013400', '15.99212126'], 'v': ['400162.92938563', '481720.41085748'], 'p': ['1.012566', '1.010331'], 't': ['743', '863'], 'l': ['0.970700', '0.970700'], 'h': ['1.058200', '1.058200'], 'o': '0.988700'}"
EOS/USD,EOS/USD,,,1.1485,1.0524,1.1047,,1.1048,,1.095898,1.0706,1.1028,1.1028,,0.0322,3.007659256491687,1.0867,1906011.14723365,2088793.8042310625,"{'a': ['1.104800', '1080', '1080.000'], 'b': ['1.104700', '10500', '10500.000'], 'c': ['1.102800', '128.28963562'], 'v': ['1842106.92249561', '1906011.14723365'], 'p': ['1.096167', '1.095898'], 't': ['2124', '2370'], 'l': ['1.052400', '1.052400'], 'h': ['1.148500', '1.148500'], 'o': '1.070600'}"
EOS/USDT,EOS/USDT,,,1.1481,1.0534,1.1031,,1.1039,,1.096546,1.0665,1.0972,1.0972,,0.0307,2.8785747773089545,1.08185,131086.52569656,143742.40540646008,"{'a': ['1.103900', '90', '90.000'], 'b': ['1.103100', '142', '142.000'], 'c': ['1.097200', '88.92274448'], 'v': ['118514.50456162', '131086.52569656'], 'p': ['1.098111', '1.096546'], 't': ['895', '992'], 'l': ['1.053400', '1.053400'], 'h': ['1.148100', '1.148100'], 'o': '1.066500'}"
EOS/BTC,EOS/BTC,,,1.78e-05,1.63e-05,1.66e-05,,1.67e-05,,1.711e-05,1.67e-05,1.66e-05,1.66e-05,,-1e-07,-0.5988023952095808,1.665e-05,158597.47401484,2.7136027803939125,"{'a': ['0.00001670', '11990', '11990.000'], 'b': ['0.00001660', '3157', '3157.000'], 'c': ['0.00001660', '24.08665300'], 'v': ['123139.18708107', '158597.47401484'], 'p': ['0.00001704', '0.00001711'], 't': ['124', '149'], 'l': ['0.00001630', '0.00001630'], 'h': ['0.00001780', '0.00001780'], 'o': '0.00001670'}"
EQEUR,EQEUR,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.000000000', '0', '0.000'], 'b': ['0.000000000', '0', '0.000'], 'c': ['0.000000000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.000000000', '0.000000000'], 't': ['0', '0'], 'l': ['0.000000000', '0.000000000'], 'h': ['0.000000000', '0.000000000'], 'o': '0.000000000'}"
EQUSD,EQUSD,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.000000000', '0', '0.000'], 'b': ['0.000000000', '0', '0.000'], 'c': ['0.000000000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.000000000', '0.000000000'], 't': ['0', '0'], 'l': ['0.000000000', '0.000000000'], 'h': ['0.000000000', '0.000000000'], 'o': '0.000000000'}"
ETC/ETH,ETC/ETH,,,0.009857,0.009555,0.009791,,0.00983,,0.00971227,0.009637,0.009849,0.009849,,0.000212,2.19985472657466,0.009743,174.76046609,1.6973208319919244,"{'a': ['0.00983000', '1', '1.000'], 'b': ['0.00979100', '32', '32.000'], 'c': ['0.00984900', '2.10000000'], 'v': ['160.18639725', '174.76046609'], 'p': ['0.00971903', '0.00971227'], 't': ['82', '92'], 'l': ['0.00955500', '0.00955500'], 'h': ['0.00985700', '0.00985700'], 'o': '0.00963700'}"
ETC/EUR,ETC/EUR,,,32.743,30.588,32.548,,32.628,,31.47598465,31.003,32.597,32.597,,1.594,5.1414379253620615,31.8,11671.59963493,367375.0909500023,"{'a': ['32.62800000', '98', '98.000'], 'b': ['32.54800000', '8', '8.000'], 'c': ['32.59700000', '23.77714029'], 'v': ['10155.44445857', '11671.59963493'], 'p': ['31.57539868', '31.47598465'], 't': ['638', '757'], 'l': ['30.58800000', '30.58800000'], 'h': ['32.74300000', '32.74300000'], 'o': '31.00300000'}"
ETC/USD,ETC/USD,,,35.632,33.1,35.366,,35.419,,34.33145754,33.522,35.523,35.523,,2.001,5.969214247359942,34.5225,24575.11302623,843699.4494007161,"{'a': ['35.41900000', '9', '9.000'], 'b': ['35.36600000', '3', '3.000'], 'c': ['35.52300000', '7.00000000'], 'v': ['23395.81240662', '24575.11302623'], 'p': ['34.37733617', '34.33145754'], 't': ['3300', '3636'], 'l': ['33.10000000', '33.10000000'], 'h': ['35.63200000', '35.63200000'], 'o': '33.52200000'}"
